modelname,language,task,granularity,seed,f1,accuracy,mae,r2,f1_EN,accuracy_EN,mae_EN,r2_EN,f1_NL,accuracy_NL,mae_NL,r2_NL,f1_IT,accuracy_IT,mae_IT,r2_IT
mdeberta-v3-base,IT,regression,7,666,0.7496180448812515,0.7522935779816514,1.3067245566229542,0.1723954874118023,,,,,,,,,0.7496180448812515,0.7522935779816514,1.3067245566229542,0.1723954874118023
xlm-roberta-base,IT,regression,7,666,0.7248759990769422,0.7327981651376146,1.4590668119148378,0.0689980653489737,,,,,,,,,0.7248759990769422,0.7327981651376146,1.4590668119148378,0.0689980653489737
bert-base-multilingual-cased,IT,regression,7,666,0.716986734679685,0.7305045871559633,1.4086588096542982,0.1509998180932861,,,,,,,,,0.716986734679685,0.7305045871559633,1.4086588096542982,0.1509998180932861
twitter-xlm-roberta-base,IT,regression,7,666,0.7545668855048214,0.7614678899082569,1.2812321618909055,0.2247537793438516,,,,,,,,,0.7545668855048214,0.7614678899082569,1.2812321618909055,0.2247537793438516
umberto-wikipedia-uncased-v1,IT,regression,7,666,0.5594412463592763,0.6869266055045872,1.4779611542009097,0.1589817249597395,,,,,,,,,0.5594412463592763,0.6869266055045872,1.4779611542009097,0.1589817249597395
gilberto-uncased-from-camembert,IT,regression,7,666,0.7350028365736075,0.7373853211009175,1.312549261808013,0.200121673484921,,,,,,,,,0.7350028365736075,0.7373853211009175,1.312549261808013,0.200121673484921
mdeberta-v3-base,IT,regression,7,420,0.751680091005294,0.7614678899082569,1.2765876219327266,0.1884518867204475,,,,,,,,,0.751680091005294,0.7614678899082569,1.2765876219327266,0.1884518867204475
xlm-roberta-base,IT,regression,7,420,0.7383464387920794,0.7488532110091743,1.36906019325484,0.1630564866029218,,,,,,,,,0.7383464387920794,0.7488532110091743,1.36906019325484,0.1630564866029218
bert-base-multilingual-cased,IT,regression,7,420,0.7232346221965342,0.7362385321100917,1.426193373337593,0.1192449804851788,,,,,,,,,0.7232346221965342,0.7362385321100917,1.426193373337593,0.1192449804851788
twitter-xlm-roberta-base,IT,regression,7,420,0.7533849013611561,0.7568807339449541,1.3080387865577678,0.1844312297598356,,,,,,,,,0.7533849013611561,0.7568807339449541,1.3080387865577678,0.1844312297598356
umberto-wikipedia-uncased-v1,IT,regression,7,420,0.5594412463592763,0.6869266055045872,1.4782645251780029,0.1647549056977074,,,,,,,,,0.5594412463592763,0.6869266055045872,1.4782645251780029,0.1647549056977074
gilberto-uncased-from-camembert,IT,regression,7,420,0.7456962912740274,0.7488532110091743,1.345829551651008,0.1797326990812294,,,,,,,,,0.7456962912740274,0.7488532110091743,1.345829551651008,0.1797326990812294
mdeberta-v3-base,IT,regression,7,13,0.7522069517115985,0.7591743119266054,1.2659936405914844,0.1989332816782882,,,,,,,,,0.7522069517115985,0.7591743119266054,1.2659936405914844,0.1989332816782882
xlm-roberta-base,IT,regression,7,13,0.7345371608875813,0.7534403669724771,1.335963866640835,0.2106217021728642,,,,,,,,,0.7345371608875813,0.7534403669724771,1.335963866640835,0.2106217021728642
bert-base-multilingual-cased,IT,regression,7,13,0.7009313230212416,0.7075688073394495,1.464698928351185,0.0656989324729849,,,,,,,,,0.7009313230212416,0.7075688073394495,1.464698928351185,0.0656989324729849
twitter-xlm-roberta-base,IT,regression,7,13,0.7506329447358717,0.7534403669724771,1.324352048459482,0.1843204234021248,,,,,,,,,0.7506329447358717,0.7534403669724771,1.324352048459482,0.1843204234021248
umberto-wikipedia-uncased-v1,IT,regression,7,13,0.5594412463592763,0.6869266055045872,1.486205278183419,0.1323265181801871,,,,,,,,,0.5594412463592763,0.6869266055045872,1.486205278183419,0.1323265181801871
